City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,San Andres,CO,12.58,-81.7,87.8,74,75,9.17,broken clouds
142,Buchanan,LR,5.88,-10.05,76.48,87,100,4.97,overcast clouds
143,Dingle,PH,11.0,122.67,75.2,94,100,5.77,light rain
144,Norman Wells,CA,65.28,-126.83,23.0,57,90,8.05,light snow
145,Goderich,CA,43.75,-81.72,63.0,54,29,12.37,scattered clouds
146,Mangrol,IN,21.12,70.12,82.11,54,100,8.03,overcast clouds
147,Lodja,CD,-3.48,23.43,73.2,74,26,0.6,scattered clouds
148,Gizo,SB,-8.1,156.84,79.63,76,100,12.91,overcast clouds
149,Gaoua,BF,10.3,-3.25,79.65,64,7,3.44,clear sky
150,Airai,TL,-8.93,125.41,60.19,47,7,3.33,clear sky
151,Puerto Del Rosario,ES,28.5,-13.86,73.4,83,0,16.11,clear sky
152,Bose,IT,45.46,8.01,51.01,57,39,5.01,scattered clouds
153,Saldanha,ZA,-33.01,17.94,53.6,76,0,8.05,clear sky
154,Bethel,US,41.37,-73.41,55.99,96,99,1.01,overcast clouds
155,Yeppoon,AU,-23.13,150.73,68.0,68,72,6.93,broken clouds
156,Itarema,BR,-2.92,-39.92,79.14,75,41,17.38,scattered clouds
157,Barrow,US,71.29,-156.79,26.6,53,90,16.11,overcast clouds
158,Natal,BR,-5.79,-35.21,80.6,65,40,11.41,scattered clouds
159,Berlevag,NO,70.86,29.09,35.6,80,20,11.41,few clouds
160,Porterville,US,36.07,-119.02,84.99,37,1,8.05,clear sky
161,Kutum,SD,14.2,24.67,79.48,17,1,7.4,clear sky
162,Charagua,BO,-19.8,-63.22,98.6,19,20,11.41,few clouds
163,Rahatgarh,IN,23.78,78.37,76.3,77,100,4.85,overcast clouds
164,Predivinsk,RU,57.07,93.44,35.53,94,100,3.11,overcast clouds
165,Sicuani,PE,-14.27,-71.23,60.67,36,90,10.92,light rain
166,Cidreira,BR,-30.18,-50.21,61.86,81,2,7.05,clear sky
167,Vila Velha,BR,-20.33,-40.29,78.01,78,90,9.17,overcast clouds
168,Ruston,US,32.52,-92.64,75.2,33,1,8.05,clear sky
169,Kailua,US,21.4,-157.74,86.0,65,75,10.29,broken clouds
170,Nishihara,JP,26.18,127.76,77.0,83,75,5.82,broken clouds
171,Talnakh,RU,69.49,88.4,26.6,100,75,29.08,snow
172,Smithers,CA,54.78,-127.17,39.2,93,75,3.36,broken clouds
173,Tura,IN,25.52,90.22,72.63,82,27,3.15,scattered clouds
174,Huambo,AO,-12.78,15.74,68.97,50,91,4.12,overcast clouds
175,Pankovka,RU,58.5,31.2,42.08,94,42,4.41,scattered clouds
176,Ponta Do Sol,PT,32.67,-17.1,69.8,73,20,14.99,few clouds
177,Souillac,MU,-20.52,57.52,75.2,78,75,11.41,shower rain
178,Terme,TR,41.21,36.97,60.8,93,98,3.36,overcast clouds
179,Buin,CL,-33.73,-70.75,75.99,38,68,6.93,broken clouds
180,Severo-Kurilsk,RU,50.68,156.12,50.65,89,100,28.99,moderate rain
181,Karasburg,NA,-28.02,18.75,63.21,23,0,4.12,clear sky
182,Akyab,MM,20.15,92.9,80.24,84,97,6.87,overcast clouds
183,Ornskoldsvik,SE,63.29,18.72,39.2,86,0,2.24,clear sky
184,Olds,CA,51.78,-114.1,37.0,76,100,10.51,light rain
